pair_key,label,country
685_881,0,japan
691_881,0,japan
125_881,0,japan
881_1228,0,japan
97_881,0,japan
599_881,0,japan
682_881,0,japan
685_691,0,japan
125_685,0,japan
685_1228,0,japan
97_685,0,japan
685_718,0,japan
599_685,0,japan
682_685,0,japan
125_691,0,japan
691_1228,0,japan
97_691,0,japan
691_718,0,japan
599_691,0,japan
682_691,0,japan
125_1228,0,japan
97_125,0,japan
125_718,0,japan
125_599,0,japan
125_682,0,japan
97_1228,0,japan
718_1228,0,japan
599_1228,0,japan
682_1228,0,japan
97_718,0,japan
97_599,0,japan
97_682,0,japan
599_718,0,japan
599_682,0,japan
125_304,0,japan
32_125,0,japan
125_1393,0,japan
125_1283,0,japan
125_178,0,japan
125_715,0,japan
304_691,0,japan
32_304,0,japan
304_1393,0,japan
304_1283,0,japan
178_304,0,japan
304_718,0,japan
304_599,0,japan
304_715,0,japan
32_691,0,japan
691_1393,0,japan
691_1283,0,japan
178_691,0,japan
691_715,0,japan
32_1393,0,japan
32_1283,0,japan
32_178,0,japan
32_718,0,japan
32_599,0,japan
32_715,0,japan
1283_1393,0,japan
178_1393,0,japan
718_1393,0,japan
599_1393,0,japan
715_1393,0,japan
178_1283,0,japan
718_1283,0,japan
599_1283,0,japan
715_1283,0,japan
178_599,0,japan
178_715,0,japan
715_718,0,japan
599_715,0,japan
179_1293,0,japan
999_1293,0,japan
591_1293,0,japan
933_1293,0,japan
586_1293,0,japan
1100_1293,0,japan
785_1059,0,japan
591_785,0,japan
785_933,0,japan
179_999,0,japan
179_591,0,japan
179_933,0,japan
179_586,0,japan
179_1100,0,japan
591_999,0,japan
933_999,0,japan
586_999,0,japan
591_933,0,japan
586_591,0,japan
591_1100,0,japan
586_933,0,japan
933_1100,1,japan
586_1100,0,japan
852_1233,0,japan
798_852,0,japan
852_1043,0,japan
852_1413,0,japan
757_852,0,japan
798_1233,0,japan
1043_1233,0,japan
1233_1413,0,japan
625_876,0,japan
876_1043,0,japan
798_1337,0,japan
899_1337,0,japan
625_798,0,japan
625_899,0,japan
625_1043,0,japan
798_1043,0,japan
798_1413,0,japan
757_798,0,japan
899_1043,0,japan
757_899,0,japan
1043_1413,0,japan
614_955,0,japan
1115_1592,0,japan
618_1579,0,japan
614_1579,0,japan
131_1592,0,japan
794_876,0,japan
534_794,0,japan
794_1222,1,japan
794_967,0,japan
160_794,1,japan
484_876,0,japan
484_534,0,japan
484_967,0,japan
1700_1730,0,japan
534_1700,0,japan
534_876,0,japan
876_1222,0,japan
876_967,0,japan
160_876,0,japan
534_1730,0,japan
534_967,0,japan
967_1222,0,japan
160_1222,1,japan
160_967,0,japan
947_1042,0,japan
907_1695,0,japan
181_907,0,japan
181_1695,0,japan
729_1695,0,japan
181_729,0,japan
181_765,0,japan
383_1424,0,japan
47_1424,0,japan
30_1424,0,japan
1424_1686,0,japan
1424_1601,0,japan
1424_1562,0,japan
1424_1425,0,japan
1424_1500,0,japan
1424_1430,0,japan
47_383,0,japan
30_383,0,japan
383_1686,0,japan
383_1601,0,japan
383_1562,0,japan
383_1425,0,japan
383_1500,0,japan
383_1430,0,japan
30_47,0,japan
47_1686,0,japan
47_1601,0,japan
47_1562,0,japan
47_1425,0,japan
47_1500,0,japan
47_1430,0,japan
30_1686,0,japan
30_1601,0,japan
30_1562,0,japan
30_1425,0,japan
30_1500,0,japan
30_1430,0,japan
1601_1686,0,japan
1425_1686,0,japan
1430_1686,0,japan
1562_1601,0,japan
1425_1601,0,japan
1500_1601,0,japan
1430_1601,0,japan
1425_1562,0,japan
1500_1562,0,japan
1430_1562,0,japan
1425_1500,0,japan
1425_1430,0,japan
1430_1500,0,japan
1560_1695,0,japan
414_1695,0,japan
316_1695,0,japan
181_1560,0,japan
729_1560,0,japan
414_1560,0,japan
389_1560,0,japan
162_1560,0,japan
316_1560,0,japan
181_414,0,japan
181_316,0,japan
414_729,0,japan
389_729,0,japan
162_729,0,japan
316_729,1,japan
316_414,0,japan
316_389,0,japan
241_337,1,japan
241_385,1,japan
